source,target,tgt_lng
"Jiangsu GenScend Biopharma Co., Ltd.",江苏景行生物医药有限公司,
GenScend,GenScend,
IQVIA,IQVIA,
Vabysmo,Vabysmo,
US-Vabysmo,US-Vabysmo,
Crystal Bland,Crystal Bland,
Mei-Fei Yueh,Mei-Fei Yueh,
MSHA,MSHA,
"U.S. FOOD & DRUG ADMINISTRATION",美国食品与药品管理局,
"U.S. FOOD & DRUG",美国食品与药品管理局,
"U.S. Food & Drug Administration",美国食品与药品管理局,
"FOOD & DRUG ADMINISTRATION",食品与药品管理局,
"Food and Drug Administration",食品与药品管理局,
FDA,FDA,
Regulatory Health Project Manager,监管健康项目经理,
"Regulatory Health Project Manager, Ophthalmology",监管健康项目经理 眼科,
"Regulatory Health Project Manager Ophthalmology",监管健康项目经理 眼科,
Regulatory HealProject Manager,监管健康项目经理,
HealProject Manager,项目经理,
Regulatory Affairs Lead,监管事务负责人,
Division of Regulatory Operations for Specialty Medicine,专科药物监管运营处,
Office of Regulatory Operations,监管运营办公室,
Office of New Drugs,新药办公室,
Center for Drug Evaluation and Research,药品评价与研究中心,
Ophthalmology,眼科,
Ophalmology,眼科,
PRELIMINARY MEETING COMMENTS,会议初步意见,
PRELIMINARY RESPONSES TO THE QUESTIONS,对问题的初步回复,
CMC,CMC,
"Question 1",问题1,
"FDA Response to Question 1(a)",FDA对问题1(a)的回复,
"Page 2",第2页,
"Page 3",第3页,
Nonclinical,非临床,
"Clinical Pharmacology",临床药理,
Clinical,临床,
Statistics,统计,
Immunogenicity,免疫原性,
"ADDITIONAL COMMENTS",补充意见,
"Additional Comments",补充意见,
"PREA REQUIREMENTS",PREA要求,
"DATA STANDARDS FOR STUDIES",研究数据标准,
"SECURE EMAIL COMMUNICATIONS",安全电子邮件通信,
"LABORATORY TEST UNITS FOR CLINICAL TRIALS",临床试验实验室检测单位,
Meeting Type,会议类型,
Meeting Category,会议类别,
Biosimilar,生物类似药,
BPD Type 2b,BPD 2b型,
Meeting Date and Time,会议日期和时间,
"September 18, 2026",2026年9月18日,
"12:00 PM to 1:00 PM (EST)",下午12:00至下午1:00（东部标准时间）,
"GS301 is being developed for the same indications as those approved for US-licensed Vabysmo (faricimab-svoa)",GS301正在为与美国上市许可获批的Vabysmo（faricimab-svoa）相同的适应症进行开发,
Meeting Location,会议地点,
Virtual,线上,
Application Number,申请编号,
Product Name,产品名称,
Indication,适应症,
Sponsor Name,申办方名称,
Regulatory Pathway,监管路径,
Introduction,引言,
BACKGROUND,背景,
"351(k) of the Public Health Service Act",《公共卫生服务法》第351(k)条,
faricimab-svoa,faricimab-svoa,
